"季度","縣市","地區","品項定位","款式","銷售總金額"
"第三季","台東縣","一般縣市","中性","自動扣",279.3
"第三季","台東縣","一般縣市","中性","針棒",835.8
"第三季","台東縣","一般縣市","特定性別","自動扣",558.6
"第三季","台東縣","一般縣市","特定性別","針棒",556.5
"第三季","嘉義縣","一般縣市","中性","一般款",1672.125
"第三季","嘉義縣","一般縣市","中性","自動扣",907.725
"第三季","嘉義縣","一般縣市","中性","針棒",2089.5
"第三季","嘉義縣","一般縣市","特定性別","一般款",1323.525
"第三季","嘉義縣","一般縣市","特定性別","自動扣",1396.5
"第三季","嘉義縣","一般縣市","特定性別","針棒",1391.25
"第三季","基隆市","一般縣市","中性","一般款",696.15
"第三季","基隆市","一般縣市","中性","自動扣",279.3
"第三季","基隆市","一般縣市","中性","針棒",835.8
"第三季","基隆市","一般縣市","特定性別","一般款",348.075
"第三季","基隆市","一般縣市","特定性別","自動扣",1675.8
"第三季","基隆市","一般縣市","特定性別","針棒",139.125
"第三季","宜蘭縣","一般縣市","中性","一般款",2511.075
"第三季","宜蘭縣","一般縣市","中性","自動扣",907.725
"第三季","宜蘭縣","一般縣市","中性","針棒",1671.6
"第三季","宜蘭縣","一般縣市","特定性別","一般款",696.15
"第三季","宜蘭縣","一般縣市","特定性別","自動扣",558.6
"第三季","宜蘭縣","一般縣市","特定性別","針棒",1808.625
"第三季","屏東縣","一般縣市","中性","一般款",1463.175
"第三季","屏東縣","一般縣市","中性","自動扣",837.9
"第三季","屏東縣","一般縣市","中性","針棒",1880.55
"第三季","屏東縣","一般縣市","特定性別","一般款",2578.8
"第三季","屏東縣","一般縣市","特定性別","自動扣",1675.8
"第三季","屏東縣","一般縣市","特定性別","針棒",2086.875
"第三季","彰化縣","一般縣市","中性","一般款",2370.375
"第三季","彰化縣","一般縣市","中性","自動扣",1396.5
"第三季","彰化縣","一般縣市","中性","針棒",1880.55
"第三季","彰化縣","一般縣市","特定性別","一般款",2646
"第三季","彰化縣","一般縣市","特定性別","自動扣",2513.7
"第三季","彰化縣","一般縣市","特定性別","針棒",3060.75
"第三季","新北市","直轄市","中性","一般款",13588.575
"第三季","新北市","直轄市","中性","自動扣",6214.425
"第三季","新北市","直轄市","中性","針棒",10447.5
"第三季","新北市","直轄市","特定性別","一般款",8080.8
"第三季","新北市","直轄市","特定性別","自動扣",5027.4
"第三季","新北市","直轄市","特定性別","針棒",9877.875
"第三季","新竹市","一般縣市","中性","一般款",2511.075
"第三季","新竹市","一般縣市","中性","自動扣",349.125
"第三季","新竹市","一般縣市","中性","針棒",2716.35
"第三季","新竹市","一般縣市","特定性別","一般款",2159.325
"第三季","新竹市","一般縣市","特定性別","自動扣",837.9
"第三季","新竹市","一般縣市","特定性別","針棒",1391.25
"第三季","新竹縣","一般縣市","中性","一般款",2020.2
"第三季","新竹縣","一般縣市","中性","自動扣",1047.375
"第三季","新竹縣","一般縣市","中性","針棒",1253.7
"第三季","新竹縣","一般縣市","特定性別","一般款",2856.525
"第三季","新竹縣","一般縣市","特定性別","自動扣",1955.1
"第三季","新竹縣","一般縣市","特定性別","針棒",1808.625
"第三季","桃園市","直轄市","中性","一般款",9756.6
"第三季","桃園市","直轄市","中性","自動扣",4538.625
"第三季","桃園市","直轄市","中性","針棒",10865.4
"第三季","桃園市","直轄市","特定性別","一般款",6683.25
"第三季","桃園市","直轄市","特定性別","自動扣",5586
"第三季","桃園市","直轄市","特定性別","針棒",7095.375
"第三季","澎湖縣","一般縣市","中性","一般款",906.675
"第三季","澎湖縣","一般縣市","中性","針棒",417.9
"第三季","澎湖縣","一般縣市","特定性別","一般款",557.025
